name,language,year,rating,type
Mad Max,en,2015,8.1,film
Interstellar,en,2014,8.6,film
Tenet,en,2020,8.1,film
Inception,en,2010,8.8,film
My fault,es,2023,6.3,film
Uncharted,en,2022,6.3,film
Extraction,en,2020,6.7,film
Extraction 2,en,2023,7.4,film
Free guy,en,2021,7.1,film
Venom,en,2018,6.6,film
A whisker away,ja,2020,6.7,anime film
Black adam,en,2022,6.3,film
Children of the sea,ja,2019,6.5,anime film
It,en,2017,7.3,film
Bubble,ja,2022,6.3,anime film
Dune,en,2021,8,film
The mother,en,2023,5.6,film
Deep water,en,2022,5.4,film
The meg,en,2018,5.6,film
Maquia: When the Promised Flower Blooms,ja,2018,7.4,anime film
Weathering with you,ja,2019,7.5,anime film
Drifting home,ja,2022,6.3, anime film
When Marnie was there,ja,2014,7.7,anime film
Ponyo,ja,2008,7.6,anime film
Words bubble up like soda pop,ja,2021,6.8,anime film
Spirited away,ja,2001,8.6,anime film
My neighbour totoro,ja,1988,8.1,anime film
Looking for magical doremi,ja,2020,6.6,anime film
Attack on Titan,ja,2013,9.1,anime series
One piece,ja,1999,8.9,anime series
